fault_mode,expected_channel,seed,features,variant,life_hours,detected,first_alert_lead_h,terminal_alert_lead_h,terminal_life_fraction,first_driver,first_driver_correct,terminal_driver,driver_correct,recovering_episodes,false_alarm_h_pre_onset,detection_delay_after_onset_h,peak_score
outer_race,bpfo,20260906,single_bin,spec,39.166666666666664,True,10.166666666666664,10.166666666666664,0.2595744680851063,bpfo,True,bpfo,True,0,0.5000000000000009,7.0,0.9999999922373074
outer_race,bpfo,20260906,single_bin,prefilter,39.166666666666664,True,10.166666666666664,10.166666666666664,0.2595744680851063,bpfo,True,bpfo,True,0,0.0,7.0,0.9999999923020838
outer_race,bpfo,20260906,single_bin,prefilter+specattr,39.166666666666664,True,10.166666666666664,10.166666666666664,0.2595744680851063,bpfo,True,bpfo,True,0,0.0,7.0,0.9999999923020838
outer_race,bpfo,20260906,sideband,spec,39.166666666666664,True,29.0,10.333333333333332,0.26382978723404255,rms,False,bpfo,True,1,0.833333333333333,6.833333333333332,0.999999992241107
outer_race,bpfo,20260906,sideband,prefilter,39.166666666666664,True,10.166666666666664,10.166666666666664,0.2595744680851063,bpfo,True,bpfo,True,0,0.0,7.0,0.9999999923062054
outer_race,bpfo,20260906,sideband,prefilter+specattr,39.166666666666664,True,10.166666666666664,10.166666666666664,0.2595744680851063,bpfo,True,bpfo,True,0,0.0,7.0,0.9999999923062054
outer_race,bpfo,20261906,single_bin,spec,39.5,True,12.0,12.0,0.3037974683544304,bpfo,True,bpfo,True,0,0.16666666666666607,5.5,0.9999999999303271
outer_race,bpfo,20261906,single_bin,prefilter,39.5,True,12.0,12.0,0.3037974683544304,bpfo,True,bpfo,True,0,0.0,5.5,0.9999999988340693
outer_race,bpfo,20261906,single_bin,prefilter+specattr,39.5,True,12.0,12.0,0.3037974683544304,bpfo,True,bpfo,True,0,0.0,5.5,0.9999999988340693
outer_race,bpfo,20261906,sideband,spec,39.5,True,12.0,12.0,0.3037974683544304,bpfo,True,bpfo,True,0,0.0,5.5,0.9999999999303495
outer_race,bpfo,20261906,sideband,prefilter,39.5,True,12.166666666666668,12.166666666666668,0.3080168776371308,bpfo,True,bpfo,True,0,0.0,5.333333333333332,0.9999999988344934
outer_race,bpfo,20261906,sideband,prefilter+specattr,39.5,True,12.166666666666668,12.166666666666668,0.3080168776371308,bpfo,True,bpfo,True,0,0.0,5.333333333333332,0.9999999988344934
outer_race,bpfo,20262906,single_bin,spec,39.5,True,37.166666666666664,12.166666666666668,0.3080168776371308,rms,False,bpfo,True,3,3.333333333333335,5.333333333333332,0.9999999999999973
outer_race,bpfo,20262906,single_bin,prefilter,39.5,True,37.166666666666664,12.0,0.3037974683544304,rms,False,bpfo,True,1,1.166666666666667,5.5,0.9999999999999802
outer_race,bpfo,20262906,single_bin,prefilter+specattr,39.5,True,37.166666666666664,12.0,0.3037974683544304,rms,False,bpfo,True,1,1.166666666666667,5.5,0.9999999999999802
outer_race,bpfo,20262906,sideband,spec,39.5,True,37.166666666666664,12.0,0.3037974683544304,rms,False,bpfo,True,3,3.666666666666667,5.5,0.9999999999999973
outer_race,bpfo,20262906,sideband,prefilter,39.5,True,37.166666666666664,11.833333333333332,0.2995780590717299,rms,False,bpfo,True,1,1.166666666666667,5.666666666666668,0.9999999999999802
outer_race,bpfo,20262906,sideband,prefilter+specattr,39.5,True,37.166666666666664,11.833333333333332,0.2995780590717299,rms,False,bpfo,True,1,1.166666666666667,5.666666666666668,0.9999999999999802
outer_race,bpfo,20263906,single_bin,spec,39.833333333333336,True,31.16666666666667,11.666666666666668,0.2928870292887029,rms,False,bpfo,True,3,3.166666666666666,6.166666666666668,1.0
outer_race,bpfo,20263906,single_bin,prefilter,39.833333333333336,True,31.0,11.666666666666668,0.2928870292887029,rms,False,bpfo,True,1,1.1666666666666679,6.166666666666668,1.0
outer_race,bpfo,20263906,single_bin,prefilter+specattr,39.833333333333336,True,31.0,11.666666666666668,0.2928870292887029,rms,False,bpfo,True,1,1.1666666666666679,6.166666666666668,1.0
outer_race,bpfo,20263906,sideband,spec,39.833333333333336,True,31.16666666666667,11.666666666666668,0.2928870292887029,rms,False,bpfo,True,3,3.4999999999999982,6.166666666666668,1.0
outer_race,bpfo,20263906,sideband,prefilter,39.833333333333336,True,31.0,11.666666666666668,0.2928870292887029,rms,False,bpfo,True,1,1.1666666666666679,6.166666666666668,1.0
outer_race,bpfo,20263906,sideband,prefilter+specattr,39.833333333333336,True,31.0,11.666666666666668,0.2928870292887029,rms,False,bpfo,True,1,1.1666666666666679,6.166666666666668,1.0
outer_race,bpfo,20264906,single_bin,spec,39.5,True,28.666666666666664,12.166666666666668,0.3080168776371308,rms,False,bpfo,True,2,5.333333333333334,5.333333333333332,1.0
