start,end,n_rows,duration_h,raw_samples_above_limit,raw_support_fraction,peak_score,peak_raw_severity,knock_driven,group
9681,9690,9,1.5650000000000546,8,0.8888888888888888,0.6437439022829151,1.639776955297856,False,C_RHS
9691,9695,4,0.6955555555557567,2,0.5,0.597176229920011,1.0905888660293968,False,C_RHS
9701,9727,26,4.521111111111168,20,0.7692307692307693,0.76442105212654,1.7734307059041714,False,C_RHS
9728,9733,5,0.8694444444445253,3,0.6,0.7370049975514129,2.0337567374770567,False,C_RHS
9734,9745,11,1.9127777777778192,7,0.6363636363636364,0.7642862664261402,1.8229849717037678,False,C_RHS
9746,9779,33,5.73833333333323,32,0.9696969696969697,0.8483912497191821,2.0778687450278412,False,C_RHS
9780,9792,12,2.086666666666588,12,1.0,0.88664319646408,2.2039674718760236,False,C_RHS
9793,9822,29,5.042777777777928,28,0.9655172413793104,0.9381098172384329,2.4168362086288515,False,C_RHS
9825,9834,9,1.5650000000000546,9,1.0,0.9273080032616996,2.0670275084345366,False,C_RHS
9835,9852,17,2.956111111111113,17,1.0,0.9311106519462111,2.237689523223925,False,C_RHS
9853,9870,17,2.956111111111113,17,1.0,0.9660465309800847,2.6642126542705165,False,C_RHS
9871,9874,3,0.5216666666665333,3,1.0,0.968166381940384,2.259406505581887,False,C_RHS
9875,9905,30,5.216666666666697,30,1.0,0.9707425517143075,2.7067509639032545,False,C_RHS
9909,9912,3,0.5216666666665333,3,1.0,0.9705738091655949,2.5296000796007667,False,C_RHS
9913,9919,6,1.043333333333294,6,1.0,0.9713462047611867,2.7043166804652956,False,C_RHS
9922,9942,20,3.4777777777776464,20,1.0,0.9872820287886374,3.0356785743173775,False,C_RHS
9943,9961,18,3.1299999999998818,18,1.0,0.9890924613344159,3.115621634202704,False,C_RHS
9962,10001,39,6.781666666666524,39,1.0,0.9907509312675848,3.011766015142542,False,C_RHS
10002,10006,4,0.6955555555555293,4,1.0,0.9899501182726103,3.0318158015053855,False,C_RHS
10007,10021,14,2.4344444444443525,14,1.0,0.9933815516793304,3.088805848438195,False,C_RHS
10022,10061,39,6.781666666666524,39,1.0,0.9938855996385045,3.3124700437217323,False,C_RHS
10062,10089,27,4.694999999999936,27,1.0,0.9929344405205948,3.2984184717602845,False,C_RHS
10090,10134,44,7.651111111111277,44,1.0,0.9945184573330628,3.2813806672164825,False,C_RHS
10135,10144,9,1.5650000000000546,9,1.0,0.9958503884876947,3.2825728296767815,False,C_RHS
10145,10156,11,1.9127777777775918,11,1.0,0.9971495647737307,3.391221096029309,False,C_RHS
10157,10188,31,5.390555555555466,31,1.0,0.9966986926825165,3.4673978922308843,False,C_RHS
10189,10221,32,5.564444444444462,32,1.0,0.9972148295650198,3.798744609218173,False,C_RHS
10222,10228,6,1.043333333333294,6,1.0,0.9950819398181219,3.0942284992510873,False,C_RHS
10231,10238,7,1.21722222222229,7,1.0,0.996949247637286,3.4006330523877613,False,C_RHS
10239,10249,10,1.7388888888890506,10,1.0,0.9968239976365478,3.2320637532442027,False,C_RHS
10250,10261,11,1.9127777777778192,11,1.0,0.995948941123035,3.294340929543395,False,C_RHS
10262,10265,3,0.5216666666667606,3,1.0,0.9953927275406416,2.7936627570924246,False,C_RHS
